0,1
134,825
785,780
668,59
996,973
814,121
599,418
404,599
19,454
274,6
880,277
732,800
441,74
595,203
90,622
664,644
708,321
76,764
217,320
550,631
313,911
167,616
98,814
646,954
56,432
846,356
78,212
174,710
4,432
304,907
827,261
183,740
147,724
968,670
734,586
740,15
205,115
764,60
834,49
895,375
296,986
575,322
725,825
669,375
157,646
788,83
955,535
736,533
903,776
446,74
891,186
261,409
288,911
124,782
220,854
533,842
894,136
645,542
742,736
750,177
944,555
888,527
256,607
83,67
447,270
885,547
646,157
522,324
697,488
528,858
810,102
257,18
999,796
908,737
944,564
149,402
416,620
507,973
887,934
349,137
958,740
698,565
597,820
984,617
281,639
786,609
607,821
715,583
141,817
503,463
506,91
785,50
870,694
702,974
771,740
363,345
999,106
998,404
461,346
940,536
578,968
